iteration,time_in_seconds,selected_config_idx,reward,cpu_percent,mem_usage,throughput,response_time
1.0,6.224952220916748,0.0,0.4851373172774138,792.262645647704,45.04296875,0.7679319381713867,1.5855072463768116
2.0,17.455302000045776,1.0,0.2538453189827525,805.8593255333792,44.74609375,0.005306243896484375,1.6014705882352942
3.0,29.215009212493896,2.0,0.24329982147866566,846.6575395189004,44.60546875,0.774775505065918,47.68109339407745
4.0,41.118752002716064,3.0,0.014417048040199172,846.3511994516793,46.4765625,0.012299537658691406,47.96590909090909
5.0,52.94007658958435,4.0,0.5651000679389717,811.9483161512028,46.171875,0.7808551788330078,1.217910447761194
6.0,64.65481996536255,5.0,0.016425484083442774,840.1864842681258,45.7578125,0.018939971923828125,48.07674418604651
7.0,76.62307977676392,6.0,0.24687665689932387,846.8151410874053,46.46484375,0.7874364852905273,48.441588785046726
8.0,88.38994574546814,7.0,0.33268405962407355,796.7232967032967,45.65234375,0.02501392364501953,1.2393939393939395
9.0,100.04791212081909,8.0,0.42564576394822223,802.1116459197787,45.703125,0.7937517166137695,2.1611940298507464
10.0,111.77478671073914,9.0,0.020273048736772076,841.7727956254272,45.65625,0.03158855438232422,47.79767441860465
11.0,123.89331769943237,10.0,0.2507986070316917,859.0762681409814,46.1015625,0.8003597259521484,48.25813953488372
12.0,136.19403910636902,11.0,0.02227460355816237,840.1604416839199,46.5625,0.03845787048339844,47.895348837209305
13.0,148.60214376449585,12.0,0.25299043671693433,844.573122855182,46.19921875,0.8077659606933594,48.43023255813954
14.0,160.8520655632019,13.0,0.024396559636168887,848.8660439560439,46.83203125,0.045604705810546875,47.937209302325584
15.0,172.76110291481018,14.0,0.4218712049501505,811.1560741249143,45.94140625,0.8138999938964844,2.282089552238806
16.0,184.23493003845215,15.0,0.3578701823392134,795.0633105335157,46.7421875,0.05125904083251953,1.1761194029850746
17.0,195.65803909301758,16.0,0.5892267046888162,808.6090996563573,45.85546875,0.8194389343261719,1.173134328358209
18.0,207.16061401367188,17.0,0.2920395183158229,786.9612698412699,47.1015625,0.05705738067626953,1.4676470588235293
19.0,218.73289394378662,18.0,0.5340241227708794,803.8401103448276,46.2421875,0.8253622055053711,1.4084302325581395
20.0,230.19610214233398,19.0,0.37049967375591525,823.1294671280277,46.6796875,0.0627288818359375,1.1451612903225807
21.0,241.8667242527008,20.0,0.4338103608243169,828.4777931034483,46.265625,0.8315467834472656,2.1984848484848483
22.0,253.5525906085968,21.0,0.03148285274283813,823.890422919509,47.61328125,0.06929969787597656,47.904545454545456
23.0,265.95618629455566,22.0,0.2621267384184427,830.9508916323731,47.234375,0.8381509780883789,48.055813953488375
24.0,278.58859968185425,23.0,0.0337389743935128,833.3935519125683,48.26953125,0.07697582244873047,47.99302325581395
25.0,291.2335150241852,24.0,0.26410923966333516,825.0264027303754,47.203125,0.8451433181762695,48.74883720930232
26.0,303.56647968292236,25.0,0.03580501172984499,836.6132783505154,46.59375,0.08371257781982422,48.15813953488372
27.0,315.61548113822937,26.0,0.43029769281377933,799.7370798898071,47.234375,0.8512716293334961,2.3181818181818183
28.0,327.18140411376953,27.0,0.3655147133385052,793.4260821917809,46.54296875,0.08936119079589844,1.1893939393939394
29.0,338.6696820259094,28.0,0.5886216354358668,829.8153466026081,47.57421875,0.8568010330200195,1.2149253731343284
30.0,350.24919271469116,29.0,0.3085302973544402,803.18492434663,46.890625,0.09515380859375,1.440909090909091
31.0,361.85490107536316,30.0,0.5390795169117939,806.9466298342542,47.15234375,0.8627204895019531,1.4393939393939394
32.0,373.3554217815399,31.0,0.36555325728792604,813.4482417582417,46.6796875,0.10081958770751953,1.2014925373134329
